Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
009372,"POLITANO, MATTHEW",ARTIST PERFORMER AGREEMENT FOR SUMMER SOUNDS CONCERT,Artist performer agreement for Summer Sounds Concert.,A,specevents,04/15/2019,10/16/2019,0,,"1,000.00","1,000.00",Arts
009373,OASIS THEATRE COMPANY,GRANT FOR MUSICAL THEATRE PRODUCTION,"Grant for musical theatre production of ""I Do"".",A,grants,04/15/2019,12/31/2019,0,,"4,800.00","4,800.00",Arts
009376,VCA CODE GROUP,PLAN CHECK RECRUITMENT SERVICES,Recruitment services for plan check engineer position.,A,profsvcs,04/16/2019,06/30/2020,0,,"6,500.00","6,500.00",Building & Safety
009377,TRANPLAN LLC,CONSULTANT FOR CRENSHAW/LAX METRO LINE EXTENSION,"Consultant for Crenshaw/LAX metro line extension project including outreach, technical support for resident taskforce and document review.",A,profsvcs,04/16/2019,06/30/2021,0,,"30,000.00","30,000.00",Urban Design & Architecture Studio
009379,WEST HOLLYWOOD CHEERLEADERS,CO-SPONSORSHIP FOR AWARDS EVENT,Co-sponsorship for awards ceremony for young leaders.,A,specevents,04/16/2019,12/31/2019,0,,0.00,0.00,Event & Film Services
009383,CELEBRATION PRODUCTIONS CORP,PERFORMER AT PLAY READING HARVEY MILK DAY CELEBRATION,"Performer at staged play reading of ""Dear Harvey"" for Harvey Milk Day Celebration at Council Chambers.  Transgender Arts Grants.",A,specevents,04/23/2019,12/31/2019,1,07/03/2019,"2,750.00","3,250.00",Arts
009384,VENTURA'S TREE MANAGEMENT,CONSULTING ARBORIST,Consulting arborist for inspections and plant health management.,A,profsvcs,04/23/2019,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
009387,QUALITY CODE PUBLISHING LLC,PROVIDE CODIFICATION FOR MUNICIPAL CODE,Provide codification services and updates for Municipal Code,A,profsvcs,04/24/2019,06/30/2021,0,,"25,000.00","25,000.00",City Clerk
009389,"MANCINI, NICK",PERFORMER AT WINTER SOUNDS CONCERT,Performer at Winter Sounds concert 12/14/19 at Council Chambers.,A,specevents,04/30/2019,02/19/2020,0,,"1,400.00","1,400.00",Arts
009391,TRANS CHORUS OF LOS ANGELES,ARTS GRANT FOR CONCERT,"Arts grant for concert ""The Phoenix Rises"".",A,grants,04/30/2019,12/31/2019,0,,"4,200.00","4,200.00",Arts
009392,MSDSONLINE INC,CHEMICAL MANAGEMENT SOFTWARE,"On-demand chemical management including inventory and audit. (Year 1 $14,758.  Year 2+ $4,799.)",A,profsvcs,04/30/2019,06/30/2022,0,,"24,356.00","24,356.00",Assistant City Manager
009395,ENE.HUB US LLC,SMART STREET LIGHT PILOT PROGRAM,"Smart street light pilot program, installation of two nodes at two locations on Santa Monica Blvd.",A,profsvcs,05/03/2019,12/31/2020,0,,"10,000.00","10,000.00",Innovation
009396,CEDARS-SINAI MEDICAL CENTER,FACILITY USE AGREEMENT FOR SHREDDING E-WASTE EVENT,"Facility use agreement for shredding and e-waste event July 27, 2019.",A,specevents,05/03/2019,07/27/2019,0,,0.00,0.00,Engineering
009398,COMPUCOM,IMPLEMENT MICROSOFT OFFICE 365,Planning and implementation of Microsoft Office 365 including workshops and assessments.,A,web/tech,05/07/2019,06/30/2022,0,,"200,000.00","200,000.00",Information Technology
009399,CONVERGEONE INC,SUPPORT SERVICES FOR OFFICE 365 IMPLEMENTATION,Remote and on-site engineering resources supporting Microsoft Office 365 implementation.,A,web/tech,05/07/2019,06/30/2022,0,,"100,000.00","100,000.00",Information Technology
009400,WHITE NELSON DIEHL EVANS LLP,FINANCIAL AUDITING SERVICES,"Financial auditing services including audit of federal grants and special reviews, reports. 
Council approval includes $77,595 for FY 18-19, $77,595. for FY 19-20, $78,909. for FY 20-21. 
Two option years FY 21-22 $80,259.  FY 22-23 $81,639.  
Annual amount includes $25,000. for other services.",A,profsvcs,05/07/2019,06/30/2022,0,,"234,099.00","234,099.00",General Accounting
009401,LAND IMAGES INC,CONSTRUCTION PREP AND ADMINISTRATION BEVERLY BLVD GATHERINE PLACE,"Public gathering place Beverly Blvd Design District concept development, design services.  Design District Streetscape Master Plan.",A,profsvcs,05/07/2019,12/31/2021,1,07/18/2019,"189,840.00","248,340.00",Urban Design & Architecture Studio
009402,DIRTY LOOKS INC,GRANT FOR SCREENING OF VIDEO ZINE,Grant for screening of video Fertile La Toyah Jackson video,A,grants,05/09/2019,12/31/2019,0,,"5,000.00","5,000.00",Arts
009407,"VALDEZ, KAILEIGH",ONGOING VIDEOGRAPHY AND DIGITAL PRODUCTION,Ongoing videography and digital video production services.,A,profsvcs,05/09/2019,06/30/2020,0,,"25,000.00","25,000.00",Media & Marketing
009408,CLASSICAL THEATRE LAB,GRANT FOR THEATRE PERFORMANCES,"Grant for theatre performances ""The Last Days of Don Juan"" for Free Theatre in the Parks.",A,grants,05/14/2019,12/31/2019,1,07/22/2019,"10,000.00","12,000.00",Arts
009409,SEVEN LOAVES,DEVELOPMENT OF CITY ART PROJECTS,"Develop partnerships for Art in Odd Places project, includes presentations and workshops.",A,profsvcs,05/15/2019,06/30/2022,0,,"10,000.00","10,000.00",Arts
009412,"RICH, JESSICA",ART CONSULTANT FOR PUBLIC ART PROGRAMS,Consultant services as required for public art programs.,A,profsvcs,05/17/2019,06/30/2020,0,,"10,000.00","10,000.00",Arts
009415,NEIGHBORHOOD HOUSING SERVICES,INCLUSIONARY HOUSING PROGRAM DEVELOPMENT,Develope program guidelines for inclusionary housing.,A,profsvcs,05/21/2019,06/30/2020,0,,"20,000.00","20,000.00",Rent Stabilization & Housing
009416,LA CO/PUB WORKS (STREET MAINT),GENERAL SERVICES MOU,MOU for General Services.  Five year agreement.,A,m-mou,05/21/2019,06/30/2024,0,,0.00,0.00,Engineering
009417,"THE ADR COACH, INC",ADMINISTRATIVE HEARINGS FOR PARKING CITATIONS,Conduct administration hearings of parking citations.,A,profsvcs,05/21/2019,06/30/2022,0,,"75,000.00","75,000.00",Parking
009418,PERIMETER SECURITY GROUP LLC,BOLLARD TRAFFIC SYSTEMS REPAIRS AND MAINTENANCE,Traffic bollard repair and maintenance.,A,profsvcs,05/21/2019,06/30/2021,0,,"40,000.00","40,000.00",Facilities & Field Services
009419,HOLLYWOOD TOW SERVICE INC,VEHICLE TOWING AND STORAGE,"Vehicle towing and storage as requested by parking enforcement, code compliance or law enforcement.  All fees paid by vehicle owner.",A,profsvcs,05/21/2019,06/30/2024,0,,0.00,0.00,Parking
009420,RYDIN DECAL,PRINT AND SHIP PARKING PERMITS,"Print and ship parking permits in the form of hangtags, decals and temporary permits.",A,profsvcs,05/21/2019,06/30/2024,0,,"281,167.00","281,167.00",Parking
009426,GLOBAL INSTITUTE FOR,REIMBURSE FOR EXPENSES FOR #SIZZLE EVENT AT PRIDE,Reimburse expenses for alcohol free #SIZZLE event at LA Pride.,A,profsvcs,05/28/2019,08/31/2019,0,,"10,000.00","10,000.00",Human Services Administration
009427,RINCON CONSULTANTS INC,REVISED EIR FOR 8555 SANTA MONICA PROJECT,Revised EIR for mixed use project at 8555 Santa Monica Blvd.,A,profsvcs,05/28/2019,06/30/2020,0,,"116,045.00","116,045.00",Current & Historic Preservation Planning
009430,CBK DIVERSIFIED INC,CONSULTANT FOR CHILDRENS ROUNDTABLE,Consultant for Children's Roundtable and other programs as needed.,A,profsvcs,05/29/2019,06/30/2020,0,,"10,000.00","10,000.00",Social Services
009433,KOA CORPORATION,TRAFFIC IMPACT STUDY RE 637 LA PEER AVE PROJECT,"For traffic impact study for project at  637 La Peer, developer reimbursible.",A,profsvcs,05/30/2019,06/30/2020,0,,"9,300.00","9,300.00",Current & Historic Preservation Planning
009435,BURKE TRIOLO LLC,PRODUCT ARTWORK FOR ART ON THE OUTSIDE,"Art on the Outside project at 1128 N. Orange Grove Avenue, product, install and de-install art after one year.",A,profsvcs,05/31/2019,06/30/2020,0,,"8,250.00","8,250.00",Arts
009438,FUN FLICKS OF SO CAL LLC,SUMMER MOVIES IN THE PARK SET UP & EQUIPMENT,"Rental and set-up of equipment, technician for Movies in the Park.",A,recreation,06/04/2019,06/30/2020,0,,"3,668.00","3,668.00",Recreation Services
009439,WEST HOLLYWOOD MARKETING CORP,WH DESIGN DISTRICT BUSINESS IMPROVEMENT DISTRICT,Oversight and administration of WH Design District Business Improvement District programs.,A,profsvcs,06/04/2019,06/30/2020,0,,"110,850.00","110,850.00",Economic Development Administration
009440,WEST HOLLYWOOD MARKETING CORP,ADMINISTER SUNSET STRIP BID WORK PROGRAMS,Oversight and administration WH Sunset Strip Business Improvement District activities and programs.,A,profsvcs,06/04/2019,06/30/2020,0,,"301,500.00","301,500.00",Economic Development Administration
009441,DEKRA-LITE INDUSTRIES INC,HOLIDAY DAY LIGHT DECORATION SERVICES SMB,"Holiday light decoration services along Santa Monica Blvd. including installation, maintenance and storage.",A,profsvcs,06/04/2019,06/30/2020,0,,"167,791.00","167,791.00",Economic Development Administration
009443,CICLAVIA INC,CICLAVIA OPEN STREETS EVENT,"Open Street CicLAvia event, including traffic control and temporary public art.",A,specevents,06/05/2019,10/31/2019,0,,"395,000.00","395,000.00",Long Range Planning
009447,TWO TIGERS PRODUCTIONS LLC,COMMUNITY ART FESTIVAL ANALYSIS AND REPORT,Analysis and reporting on community response for potential art festival,A,profsvcs,06/06/2019,06/30/2020,0,,"21,415.00","21,415.00",Arts
009448,CITYFI LLC,PERFORMER FOR STATE OF THE CITY EVENT,Artist/Performer agreement for State of the City event.,A,specevents,06/10/2019,12/31/2019,0,,"3,800.00","3,800.00",Economic Development Administration
009449,GAY MENS CHORUS OF LOS ANGELES,PROJECT GRANT FOR COMMUNITY CONCERT,Project grant for Community Concert,A,grants,06/10/2019,12/31/2019,0,,"7,500.00","7,500.00",Arts
009451,CARL WARREN & COMPANY,PROVIDE CLAIMS ADMINISTRATION FOR LIABILITY CLAIMS,"Three party agreement between City, CJPIA and Carl Warren to provide claims administration for City's liability claims.",A,profsvcs,06/11/2019,06/30/2022,0,,"176,100.00","176,100.00",Assistant City Manager
009452,CALIFORNIA JPIA,JOINT POWERS TO PARTICIPATE IN CJPIA INSURANCE POOL,MOU for participation in California Joint Powers Insurance Authority insurance pool for General Liability and Workers Compensation.,A,m-mou,06/12/2019,,0,,0.00,0.00,Assistant City Manager
009454,"IVANOVA, OLGA",INSTRUCTOR FOR CITIZENSHIP CLASSES,Instructor for Citizenship and ESL English classes at Plummer Park,A,profsvcs,06/13/2019,06/30/2020,0,,"7,500.00","7,500.00",Social Services
009455,WEHO CHAMBER OF COMMERCE,COMMUTER CENTER SERVICES,Commuter center services including TAP card sales and transit program marketing.,A,profsvcs,06/13/2019,06/30/2020,0,,"19,800.00","19,800.00",Social Services
009456,WAVEGUIDE LLC,TECHNICAL AUDIO VISUAL SUPPORT,"Technical audio visual support for City meetings and activities, consulting design services.",A,profsvcs,06/13/2019,06/30/2020,0,,"100,000.00","100,000.00",Facilities & Field Services
009458,LA COUNTY MTA (INCENTIVE FNDS),MOU FOR FUNDING OF NATIONAL TRANSIT DATABASE,MOU for National Transit Database reporting for Cityline.,A,m-mou,06/17/2019,06/30/2022,0,,"38,269.00","38,269.00",Social Services
009459,KIMLEY-HORN AND ASSOCIATES INC,CITY WIDE SAFETY BOLLARDS STUDY AND DESIGN,Design and study safety bollards City-wide.,A,profsvcs,06/17/2019,06/30/2020,1,06/20/2019,"52,028.00","57,231.00",Engineering
009460,CITYGATE ASSOCIATES LLC,STAFFING STUDY AND PLAN,Organization wide staffing study and optimization plan.,A,profsvcs,06/17/2019,06/30/2020,0,,"169,000.00","169,000.00",Assistant City Manager
009461,MICHAEL BAKER INTERNATIONAL,CONSTRUCTION INSPECTION CIP 1803,Construction inspection for CIP 1803 -  Melrose Ave/Robertson Blvd Sewer Rehabilitation project.,A,profsvcs,06/18/2019,06/30/2020,0,,"99,928.00","99,928.00",Engineering
009462,"SEA CLEAR POOLS, INC",POOL MAINTENANCE,"Weekly pool maintenance, preventive and emergency equipment services",A,profsvcs,06/18/2019,06/30/2022,0,,"169,615.00","169,615.00",Recreation Services
009463,LA COUNTY BICYCLE COALITION,CO-SPONSORSHIP OF BIKE SAFETY CLASSES,Co-sponsorship of bike safety classes at Plummer Park.  In kind-support for three classes.,A,specevents,06/18/2019,12/31/2019,0,,0.00,0.00,Event & Film Services
009465,LA CO/SHERIFFS DEPT,MUNICIPAL LAW ENFORCEMENT SERVICES,Five year agreement Municipal Law Enforcement services with LA County Sheriff's Dept.  Fiscal impact is addressed during the budget process.,A,profsvcs,06/18/2019,06/30/2024,0,,0.00,0.00,Sheriff/Protective Services
009466,EDGEWORTH INTEGRATION LLC,REPLACE EMERGENCY PHONES AT KINGS ROAD GARAGE,Replace emergency phone system in Kings Road garage.,A,profsvcs,06/18/2019,07/30/2019,0,,"21,949.00","21,949.00",Parking
009467,"SUMMERFIELD, SCOTT",MEDIA TRAINING SESSION,Media training sessions including on-camera training.,A,profsvcs,06/19/2019,12/30/2019,0,,"18,000.00","18,000.00",Media & Marketing
009468,"GROVER, LAURA D",ARTS GRANT CONSULTANT FOR PONY BOX,Consultant for Arts Grantee Pony Box Theatre including marketing and audience development.,A,profsvcs,06/20/2019,12/31/2019,0,,"3,000.00","3,000.00",Arts
009469,"SAYED, RAJAB",LOAN OF ARTWORK MURAL AT WH PARK,MOU for loan of artwork - mural at West Hollywood Park.,A,m-mou,06/20/2019,01/31/2021,0,,"2,500.00","2,500.00",Arts
009470,GO GO LASER,PRINTER REPAIR ON SITE,On-site printer repair for City owned HP printer.,A,profsvcs,06/20/2019,06/30/2022,0,,"21,000.00","21,000.00",Information Technology
009471,GRANICUS LLC,"VIDEO STREAMING, ARCHIVING AND AGENDA SERVICES","Services include video streaming and archiving, agenda services and electronic voting. FY 19-20 $28,572. FY 20-21 $30,000.60  FY 21-22 $31,500.63.",A,profsvcs,06/20/2019,06/30/2022,0,,"90,073.00","90,073.00",City Clerk
009472,SYNERGY GLOBAL ENTERTAINMENT,SUMMER ON SUNSET EVENT,"City as Financial sponsor for Summer on Sunset event, providing use of parking lot at 8755 Sunset Blvd. Producers on behalf of WH Marketing Corporation and Sunset BID",A,specevents,06/21/2019,12/31/2019,0,,0.00,0.00,Economic Development Administration
009473,"WEST, RHIANNON P",MUSICIAN TO PERFORM AT FARMERS MARKET,Musician to performer at Farmers Market.,A,specevents,06/24/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009474,"MIRON, ERIK D",MUSICAL PERFORMANCE AT FARMER'S MARKET,Musical performance at Farmer's Market,A,specevents,06/24/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009475,HIGH-SPEED TAC MED LLC,ACTIVE SHOOTER TRAINING FOR STAFF,Active shooter training for staff.,A,profsvcs,06/24/2019,06/30/2020,1,10/02/2019,"5,250.00","19,252.00",Public Safety Administration
009476,"ALVES, JOSE D",MUSICAL PERFORMANCE AT FARMER'S MARKET,Musical performance at Farmer's Market,A,specevents,06/24/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009477,BOUNDARY DIGITAL LLC,MICROSITE FOR VISION 2050,"Microsite for Vision 2050 including marketing and surveys, three year support.",A,profsvcs,06/25/2019,06/30/2022,0,,"10,100.00","10,100.00",City Manager / Legislative & Executive
009478,"HILK, CANDACE M., CPA",FISCAL CONSULTANT FOR SOCIAL SERVICES & TRANSIT AGENGIES,"Fiscal consultant for Social Services and transit agencies, including project cost reporting.",A,profsvcs,06/26/2019,06/30/2020,0,,"23,500.00","23,500.00",Social Services
009479,TVEYES INC,SUBSCRIPTION SERVICE FOR MEDIA MONITORING,Broadcast media monitoring subscription service.,A,profsvcs,06/26/2019,06/15/2020,0,,"3,600.00","3,600.00",Communications Administration
009480,"HSU, AUDREE",COORDINATE EDUCATIONAL HEALTH TRAINING,Coordinate with Iris Cantor Center and LA County Lesbian and Bisexual Women's Health Collaborative for educational trainings.,A,profsvcs,06/26/2019,06/30/2021,0,,"5,000.00","5,000.00",Strategic Initiatives
009481,"URBAN FUTURES BOND, *INSURANCE REQUIREMENTS*",HOUSING POLICY MANUAL AND WAITLIST AUDITS,Completion of the Inclusionary Housing Policy Manual and audit of the Inclusionary Housing Waitlists.,A,profsvcs,06/27/2019,06/30/2021,0,,"25,000.00","25,000.00",Rent Stabilization & Housing
009482,SOUTHWEST PIPELINE &,SEWER REHAB PROJECT MELROSE/ROBERTSON,"Melrose/Robertson sewer rehabilitatiion project.  CIP 1803  Council approved 10% Change Orders, see supplemental.",A,pworks,07/02/2019,06/30/2020,2,09/19/2019,"861,159.00","947,275.00",Engineering
009483,VERIZON WIRELESS,MOVING TO NASPO VALUEPOINT MOBILE PLAN,Enrolling in Verison's NASPO Valupoint plan for discounted rates on physical devices/data/voice plans for City's mobile needs.,A,web/tech,07/02/2019,12/31/2019,0,,0.00,0.00,Information Technology
009484,"ROSHAY, ALANA KRISTINE",PROVIDE TECHNICAL ASSISTANCE FOR ARTS GRANTEE,"Provide technical assistance for Arts organization development grantee, June L. Mazer Lesbian Archives.",A,profsvcs,07/02/2019,12/31/2019,0,,"1,500.00","1,500.00",Arts
009485,PROJECT 10,PURCHASE EDUCATIONAL MATERIALS,Purchase of educational materials for anti-bias trainings and for libraries for two school years.,A,profsvcs,07/02/2019,06/30/2021,0,,"1,500.00","1,500.00",Social Services
009486,INNOVATIVE RESOURCES,COMMUNITY SERVICES STAFF TRAINING,Community services staff training,A,profsvcs,07/02/2019,06/30/2020,0,,"24,000.00","24,000.00",Community Services (Deputy City Manager)
009487,IVP PUBLIC ART,TECHNICAL ASSISTANCE FOR WEHO ARTS GRANTEE,Technical assistance for Arts Program grantee.,A,profsvcs,07/02/2019,12/31/2019,0,,"1,500.00","1,500.00",Arts
009488,BRIGHT ENTERTAINMENT LLC,PERFVORMER FOR SENIOR SUMMER LUAU,Performer for Senior Summer Luau,A,specevents,07/05/2019,07/20/2019,0,,600.00,600.00,Recreation Services
009489,"HACKENBERG, GLENN A",PERFORMER FOR FARMER'S MARKET,Performer for Farmer's Market.,A,specevents,07/05/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009490,SATURDAY NIGHT BATH CONCERT,ARTS GRANT FOR INTERACTIVE CONCERT,Arts grant for production and performance of interactive concert.,A,grants,07/08/2019,12/31/2019,0,,"1,000.00","1,000.00",Arts
009491,"OSHMIANSKY, SHAWN",ARTIST PERFORMER FOR SENIOR LUAU,Artist performer for Senior Luau.,A,specevents,07/08/2019,07/20/2019,0,,600.00,600.00,Recreation Services
009492,11:11 A CREATIVE COLLECTIVE,PROVIDE TECHINICAL ASSISTANCE FOR ARTS GRANTEE,"Provide technical assistance for Arts Grantee including fundraising, marketing, audience development.",A,profsvcs,07/09/2019,12/31/2019,0,,"1,500.00","1,500.00",Arts
009493,OCMI INC,DEVELOPER REIMBURSE FOR FRENCH MARKET PROJECT,For French Market project peer review of construction cost component 7965-7985 Santa Monica Blvd.,A,profsvcs,07/10/2019,06/30/2020,0,,"29,760.00","29,760.00",Current & Historic Preservation Planning
009494,KEYSER MARSTON ASSOCIATES INC,ECONOMIC ANALYSIS AND CONSULTING FOR RSH DIVISION,"Economic analysis and consulting for Rents Stabilization and Housing Division as needed. FY 10-20 $25,000.  FY 20-21 $25,000.",A,profsvcs,07/10/2019,06/30/2021,0,,"50,000.00","50,000.00",Rent Stabilization & Housing
009495,BIG BELLY SOLAR INC,PURCHASE OF SMART WASTE BIN UNITS & SOFTWARE UPGRADE,"Purchase of  10 HC5 Single Station Units and 24 software upgrades for existing units. Base agreement $67,183 plus contingency shown in supplemental.",A,profsvcs,07/16/2019,12/31/2019,1,07/18/2019,"67,183.00","68,183.00",Facilities & Field Services
009496,"SNIDER, ROBERT M",ADMINISTRATIVE HEARINGS OFFICER SERVICES,"Services of Administrative Hearings Officer for rent and MAR hearings, administrative citations and vehicle impound cases.  Payment terms $200. per hour, two hour daily minimum.",A,profsvcs,07/16/2019,06/30/2020,0,,"225,000.00","225,000.00",Legal Services
009497,"AMOR, SENOR",CO SPONSORSHIP FOR BOOK READING AND PANEL,"Co-sponsorship for book reading and panel discussion, LGBTQ of Steel.  In kind support.",A,specevents,07/16/2019,12/31/2019,0,,0.00,0.00,Economic Development Administration
009498,CIVIS ANALYTICS INC,DATA TRAINING FOR CITY STAFF,Provide data driven decision making training to City staff.,A,profsvcs,07/16/2019,06/30/2020,0,,"38,000.00","38,000.00",Innovation
009499,WILLDAN FINANCIAL SERVICES,COMPREHENSIVE FEE STUDY,Comprehensive fee study and cost allocation plan. Year one includes fee study.,A,profsvcs,07/16/2019,07/15/2024,0,,"35,060.00","35,060.00",Revenue Management
009500,WE HO COMMUNITY HOUSING CORP,AFFORDABLE HOUSING PROGRAM ADMINISTRATION,Affordable Housing Administration Program.,A,profsvcs,07/16/2019,06/30/2020,0,,"235,000.00","235,000.00",Rent Stabilization & Housing
009501,"TETRA TECH BAS, INC GEOSCIENCE",ON CALL GENERAL ENGINEERING FOR APPLICANT REIMBURSED  AGMTS,On call geotechnical engineering consulting services primarily for applicant reimbursed geotechnical report peer reviews.,A,profsvcs,07/17/2019,06/30/2022,0,,"150,000.00","150,000.00",Planning & Development Services Administration
009502,INTERNATIONAL LINE BUILDERS,ON STREET ELECTRICAL VEHICLE CHARING STATIONS,"Electrical vehicle charging stations, project CIP 1808.",A,pworks,07/17/2019,06/30/2020,1,07/23/2019,"71,220.00","85,464.00",Engineering
009503,"MARMORSTEIN, PAUL",MUSIC PERFORMANCE AT FARMERS MARKET,Music performances at Farmers Market.,A,specevents,07/19/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009504,VISUAL ARTISTS GUILD,CURATE ART EXHIBIT,"Curate art exhibit including music, dance  and video art. Includes reception and forum.",A,profsvcs,07/19/2019,12/31/2019,0,,0.00,0.00,Arts
009505,JOEY AARON,PERFORMER AGREEMENT,"Performer at two events, dates to be determined, compensation $250. per event.",A,specevents,07/19/2019,06/30/2020,0,,500.00,500.00,Social Services
009506,LA CO/ANIMAL CARE & CONTROL,ANIMAL CARE AND CONTROL,Five year agreement for Comprehensive Animal Care and Control,A,profsvcs,07/19/2019,06/30/2024,0,,"350,000.00","350,000.00",Code Compliance
009507,ENGEO INCORPORATED,ON CALL GEOTECHINICAL ENGINEERING CONSULTANT,On call geotechnical engineering services primarily for applicant reimbursed geotechnical report peer reviews.,A,profsvcs,07/19/2019,06/30/2022,0,,"150,000.00","150,000.00",Planning & Development Services Administration
009508,NATIONAL WOMENS POLITICAL,CO-SPONSOR FILM SCREENING AND PANEL DISCUSSION,"Co-sponsor film screening and panel discussion of ""Knock Down the House"".",A,specevents,07/19/2019,12/31/2019,0,,0.00,0.00,Economic Development Administration
009509,CITY OF EL MONTE,RULE 20A ALLOCATION FOR UNDERGROUNDING PROJECT,Rule 20A allocation for undergrounding project for utility wires.,A,m-mou,07/22/2019,12/31/2019,0,,"1,894,290.00","1,894,290.00",Engineering
009510,"ALHADDAD, YOUSEF",MUSICIAN FOR FARMERS MARKET,Musician for Farmers Market.,A,specevents,07/23/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009511,HOLLYWOOD NOW,LIVE READING OF MUELLER REPORT AT COUNCIL CHAMBERS,Co-sponsorship of live reading of Mueller Report at Council Chambers.,A,specevents,07/23/2019,12/31/2019,0,,"4,500.00","4,500.00",Economic Development Administration
009512,"LALIOTIS, EMILY",MUSICIAN FOR FARMERS MARKET,Musician for Farmers Market,A,specevents,07/23/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009513,"PORTER, DAVID",MUSICIAN FOR FARMERS MARKET,Musician for Farmers Market,A,specevents,07/23/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009514,LA CO/INTERNAL SERVICES,REGIONAL IMAGERY AQUISITION CONSORTIUM,Regional imagery aquisition consortium.,A,zgovpurag,07/23/2019,06/30/2021,0,,"21,070.00","21,070.00",Information Technology
009515,CHARGEPOINT INC,DONATION AGREEMENT FOR CHARGING STATIONS,Donation agreement for Fivepoint charging stations.,A,web/tech,07/23/2019,06/30/2035,1,07/25/2019,0.00,0.00,Engineering
009516,CHARGEPOINT INC,MASTER SERVICES AND SUBSCRIPTION AGREEMENT FOR CHARGING STATIONS,Master services and subscription agreement for charging stations.,A,m-donate,07/23/2019,06/30/2035,1,07/15/2019,0.00,"28,950.00",Engineering
009518,"SELWYN, JESSE",MUSICIAL PERFORMER AT FARMERS MARKET,Musician for Farmers Market.,A,specevents,07/24/2019,12/31/2019,0,,300.00,300.00,Recreation Services
009519,"BRANDO, CYNTHIA C",MUSICIAN FOR FARMERS MARKET,Musician for Farmers Market,A,specevents,07/26/2019,12/31/2019,0,,150.00,150.00,Recreation Services
009520,BANK OF THE WEST,PROVIDE BANKING SERVICES,Provide banking services.  Fees based on transactions.  Five year agreement with option to extend for three years included in the contract.,A,profsvcs,08/01/2019,06/30/2024,0,,0.00,0.00,General Accounting
009522,"DG INVESTMENT INTERMEDIATE, HOLDINGS 2 INC",REMOVE AND REPLACE ALPR CAMERA FOR REPAIR,Remove and replace Automatic license plate recognition camera for repair.,A,profsvcs,08/02/2019,06/30/2020,0,,"6,680.00","6,680.00",Public Safety Administration
009523,"STILKEY JR, MICHAEL",ARTIST TO PAINT MURAL ON CITY HALL,Artist to paint mural on City Hall,A,profsvcs,08/02/2019,06/30/2020,0,,"8,750.00","8,750.00",Arts
009524,LAXART,ARTS GRANT FOR EXHIBIT,Arts grant for Postcommodity historic art exhibit.,A,grants,08/02/2019,12/31/2019,0,,"7,125.00","7,125.00",Arts
009525,"DIAMANT, ALLISON LESLIE",CONDUCT TRAINING FOR HEALTH COLLABORATIVE PROGRAM,Provide trainings for Lesbian and Bisexual Women's Health Collaborative Education Program.  Instructor to be compensated $200.,A,recreation,08/06/2019,06/30/2021,0,,"2,000.00","2,000.00",Strategic Initiatives
009526,"GEOCON WEST, INC.",GEOTECHNICAL ASSESSMENT OF PLUMMER PARK,Update geotechnical assessment of Plummer Park.,A,profsvcs,08/06/2019,06/30/2021,0,,"10,715.00","10,715.00",Facilities & Field Services
009527,MONEYBRAG INC,DESIGN PROJECT RELATED CITY MICRO WEBSITE,"Design project related City micro websites, specific projects to be determined. Three year agreement, not to exceed $25,000. per year.",A,profsvcs,08/06/2019,06/30/2022,0,,"75,000.00","75,000.00",Media & Marketing
009528,CITY OF HERMOSA BEACH,PROP A EXCHANGE RETURN LOCAL FUNDS,Assignment agreement Prop A local return funds exchange.,A,profsvcs,08/06/2019,10/31/2019,0,,"700,000.00","700,000.00",Social Services
009529,YORK RISK SERVICES GROUP INC,CLAIMS ADJUSTER FOR WORKERS COMPENSATION,Third party administrator agreement for workers compensation claim adjuster services.,A,profsvcs,08/12/2019,06/30/2020,0,,0.00,0.00,Assistant City Manager
009530,MUSCO SPORTS LIGHTING LLC,LIGHTING REPAIR AND MAINTENANCE AT PARKS,Maintenance and repairs at WH Parks.,A,profsvcs,08/14/2019,06/30/2021,0,,"25,000.00","25,000.00",Facilities & Field Services
009531,"TORETTI, JUDITH ANN BARTEK",ON-CALL INNOVATIONS AND TECHNOLOGY SERVICES,ON-CALL INNOVATIONS AND TECHNOLOGY SERVICES,A,profsvcs,08/14/2019,06/30/2022,0,,"75,000.00","75,000.00",Innovation
009532,"HSU, UMI FANGYU",ON-CALL INNOVATIONS AND TECHNOLOGY SERVICES,ON-CALL INNOVATIONS AND TECHNOLOGY SERVICES,A,profsvcs,08/14/2019,06/30/2022,0,,"75,000.00","75,000.00",Innovation
