Obj,Organo,Procedimiento de adjudicación,Tipo de contrato,Importe de licitación,Importe de adjudicación,Identidad del adjudicatario,Ejercicio,Código Expediente,M
alimentac.febrero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"567,42",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
alimentac. marzo bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.282,65",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
alimentac. mayo bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.385,86",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
seguridad abril rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.977,72",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
red para control de palomas r.j. baltasar gracián,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"3.881,68",QUIMERA BIOLOGICAL SYSTEMS S.L,2017,,CONTRATO MENOR
seguridad enero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.063,40",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
diseño expositor,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.272,51",EL DIRECTORIO CREACION PUBLICI,2017,,CONTRATO MENOR
seguridad febrero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.402,02",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
seguridad abril bgracian,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.492,48",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
renovación y mejora jardín baltasar gracián,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"5.384,50",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
modificación aplicación informática reserva plazas,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"6.715,50",CENTRO DE CALCULO BOSCO S.L.,2017,,CONTRATO MENOR
vigilancia y seguridad residencias juveniles iaj a,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"9.015,35",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
productos droguería y limpieza rj baltasar gracián,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"9.024,40",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
obras reparación r.j. baltasar gracián,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"12.116,58",CEASA 2003 S.L.,2017,,CONTRATO MENOR
limpieza febrero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"905,94",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
vigilancia y seguridad residencias juveniles iaj,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"17.990,00",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
alimentac.enero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.194,38",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
alimentac.febrero bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.204,46",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
del 30-11 a 31-12/16 bgra,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"3.322,38",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
seguridad enero bgracian,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"3.550,68",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
seguridad febrero bgracia,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.150,16",GARDA SERVICIOS DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
mantenimiento maquinaria hostelería rj baltasar gr,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.414,08",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
suministro energía eléctrica enero 2017,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.919,92",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
mantenimiento ascensores residencias iaj 2017,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"5.891,58",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
frutas y verduras rj ramón y cajal 2017,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"6.083,47",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
mantenimiento jardines espacio joven baltasar grac,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"6.655,00",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
suministro carne rj ramón y cajal 2017,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"7.259,28",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
"suministro pan, harina y derivados rj baltasar gra",INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"9.387,94",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentac.febrero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"634,66",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
suministro conservas y coloniales rj ramón y cajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"9.990,71",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
alimentac.febrero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.074,67",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
mto. ascens.2ºt.17 csocia,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"374,33",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
alimentac.marzo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"390,83",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
limpieza abril rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"407,13",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
alimentac. mayo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"415,41",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
mto. jardines mayo bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
mto. jardines marzo bgrac,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
mto. jardines abril bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
alimentac. mayo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"462,56",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
limpieza marzo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"471,08",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
alimentac. abril rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"489,30",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
alimentac. abril rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"496,55",EXCLUSIVAS JESAN S.L.,2017,,CONTRATO MENOR
alimentac. mayo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"521,18",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
alimentac.marzo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"528,03",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
suministro frutas y verduras r.j. baltasar gracián,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"9.935,69",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
drog-limpieza agosto bgra(6fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.106,06",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
alimentac. sept. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"576,02",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
acondicionamiento y pintura varias salas espacio j,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.057,13",DECORACIONES J BABIL SL,2017,,CONTRATO MENOR
pintar varias salas espacio joven,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.057,12",DECORACIONES J BABIL SL,2017,,CONTRATO MENOR
rieles y cortinas bgracia,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"3.609,08",RIELDECOR SL,2017,,CONTRATO MENOR
suministro colchones y almohadas r.j. baltasar gra,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"3.540,46",INDUSTRIAS RELAX S.L.,2017,,CONTRATO MENOR
instal.red palomas brac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"3.208,00",QUIMERA BIOLOGICAL SYSTEMS S.L,2017,,CONTRATO MENOR
colchones y almohadas bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.926,00",INDUSTRIAS RELAX S.L.,2017,,CONTRATO MENOR
renovac. mejora jardin bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.225,00",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
renovac. mejora jardin bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.225,00",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
gestion campaña c.t.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.719,00",CENTRO DE CALCULO BOSCO S.L.,2017,,CONTRATO MENOR
obras residencia bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.617,00",CEASA 2003 S.L.,2017,,CONTRATO MENOR
instal.a.acondic.smaladet,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.837,46",NORTEÑA DE CLIMATIZACION S.L.,2017,,CONTRATO MENOR
alimentación junio bgraci,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.011,82",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
mto.maquin.hostel.sept.bg (3 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"986,63",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
mto. jardines julio y agosto bgracian,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"916,66",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
mto. ascens.3ºt.17 bg-rca,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"897,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
limpieza junio rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"725,55",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
limpieza nov. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"466,14",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
alimentac. nov. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"480,91",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
limpieza sept. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"521,64",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
alimentacion dic. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"529,17",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
alimentac. dic. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"542,79",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
mto.maquin.hostel.sept.bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.875,00",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
alimentac. abril rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"362,02",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
alimentación junio rcajal (2 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"114,92",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
suministro 28 mesas habitaciones r.j. ramón y caja,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"15.036,00",SELECCION GENMA S.L.,2017,,CONTRATO MENOR
alimentac. abril bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"110,11",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
mto. maquin.hosteler. bgr,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"136,00",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
alimentac. mayo bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"182,60",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
mto. maq.hostel.mayo. bgr,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"205,00",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
alimentac. marzo bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"206,50",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentac. abril rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"235,98",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
alimentac. mayo rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"254,92",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
adquisición cortinas 2 pasillos rj baltasar gracia,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.366,99",RIELDECOR SL,2017,,CONTRATO MENOR
drogueria-limp. abril bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"336,64",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
alimentac.febrero rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"357,00",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
mejora hall y saa de estar primera planta residenc,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"17.753,04",CEASA 2003 S.L.,2017,,CONTRATO MENOR
remodelación albergue y suministro de mobiliario b,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"14.220,98",GREMIOS EJMA SL,2017,,CONTRATO MENOR
reforma suelo r.j. ramón y cajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"10.409,83",PUERTOLAS PASCUAL S.L.,2017,,CONTRATO MENOR
plan autoprotección residencias juveniles iaj,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"9.075,00",ARQUITECTURA METROPOLITANA,2017,,CONTRATO MENOR
suelo lamin.y zaguanes rc,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"8.603,16",PUERTOLAS PASCUAL S.L.,2017,,CONTRATO MENOR
"fomración para la pormoción, desarrollo y dinamiza",INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"7.260,00",LA BEZINDALLA SDAD COOP,2017,,CONTRATO MENOR
mod.aplic.inf.reserv.plza,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"6.715,50",CENTRO DE CALCULO BOSCO S.L.,2017,,CONTRATO MENOR
instalación sistema aire acondicionado sala malade,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"5.166,86",NORTEÑA DE CLIMATIZACION S.L.,2017,,CONTRATO MENOR
mantenimiento y adaptación iso:2015 sistema de cal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"5.154,60",QUALITAS MANAGEMENT SL,2017,,CONTRATO MENOR
xviii encuentro musicos ma,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"5.000,00",BLASCO LAMBIES JOSE ANTONIO,2017,,CONTRATO MENOR
mto. maquin.host.marzo bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"268,70",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
drog. y limpieza dic. bgr,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.216,60",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
suelo lamin.y zaguanes rc,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"8.603,16",PUERTOLAS PASCUAL S.L.,2017,,CONTRATO MENOR
formación participación,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.961,00",LA BEZINDALLA SDAD COOP,2017,,CONTRATO MENOR
instal.a.acondic.smaladet,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"4.837,46",NORTEÑA DE CLIMATIZACION S.L.,2017,,CONTRATO MENOR
colchones y almohadas bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.926,00",INDUSTRIAS RELAX S.L.,2017,,CONTRATO MENOR
alimentac. dic. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.250,78",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
renovac. mejora jardin bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.225,00",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
mto. ascens.3ºt.17 bg-rca,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"897,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
alimentac. nov. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.312,08",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
mejoras hol-sala estar bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"14.671,94",CEASA 2003 S.L.,2017,,CONTRATO MENOR
alimentación junio rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"177,29",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
alimentación junio rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"168,03",EXCLUSIVAS JESAN S.L.,2017,,CONTRATO MENOR
estudio casa juventud calatayud,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.149,50",LABORATORIO ENSAYOS TECNICOS S,2017,,CONTRATO MENOR
estudio estructura edificio sede casa de la juvent,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.149,50",LABORATORIO ENSAYOS TECNICOS S,2017,,CONTRATO MENOR
alimentac. nov. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.008,08",EXCLUSIVAS JESAN S.L.,2017,,CONTRATO MENOR
mto.maquin.hostel.sept.bg (3 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"986,63",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
mto.maquin.hostel.sept.bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"1.875,00",HNOS PEREZ MAQUINARIA HOSTELER,2017,,CONTRATO MENOR
mto. ascens.3ºt.17 csoc.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"374,33",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
alimentac. abril bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"309,57",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentac. octubre rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"616,57",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
alimentación julio bgracian (2 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"210,97",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentación junio rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"225,37",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
alimentación junio rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"273,86",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
drog.-limpieza junio bgra,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"283,71",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
remod. albergue y suministro 44 mesas estudio bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"11.752,22",GREMIOS EJMA SL,2017,,CONTRATO MENOR
instal.a.acondic.smaladet,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"329,40",NORTEÑA DE CLIMATIZACION S.L.,2017,,CONTRATO MENOR
28 mesas habitac. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"12.426,45",SELECCION GENMA S.L.,2017,,CONTRATO MENOR
drog.-limpieza junio bgra,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"405,72",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
drogueria limp. sept. bg (2 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"420,49",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
mto. jardines junio bgrac,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
alimentación junio bgracian (2 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"535,16",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
"obras remodelac. recepción,comedor,cocina bgrac.",INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"49.970,72",EL CORTE INGLES S.A.,2017,,CONTRATO MENOR
suministro 28 mesas habitaciones r.j. ramón y caja,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"15.036,00",SELECCION GENMA S.L.,2017,,CONTRATO MENOR
renovac. mejora jardin bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.225,00",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
drog.-limpieza julio bgracian (4 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"289,63",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
formación participación,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"2.299,00",LA BEZINDALLA SDAD COOP,2017,,CONTRATO MENOR
limpieza octubre rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"646,32",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
alimentac. nov. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"731,03",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
mto.ascens.4ºt.17 rc-bg,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"897,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
alimentac. sept. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"670,53",EXCLUSIVAS JESAN S.L.,2017,,CONTRATO MENOR
drog. y limpieza dic. bgr,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"713,40",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
alimentac. dic. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"686,22",EXCLUSIVAS JESAN S.L.,2017,,CONTRATO MENOR
aliment.sept. y oct. rcaj,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"734,17",FRAKO ALIMENTACION SL,2017,,CONTRATO MENOR
alimentac. octubre rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"769,99",EXCLUSIVAS JESAN S.L.,2017,,CONTRATO MENOR
alimentac. dic. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"825,65",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
alimentac. octubre bgraci,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"863,98",DISTRIBUCIONES CORREAS S.L.,2017,,CONTRATO MENOR
alimentac. sept. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"240,38",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
drog.y limpieza octub.bg.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"404,14",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
alimentac. octubre bgraci,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"393,80",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
mto.ascens.4ºt.17 csoc.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"374,33",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
mto. ascens.3ºt.17 csoc.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"374,33",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
alimentac. nov. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"337,75",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
instal.a.acondic.smaladet,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"329,40",NORTEÑA DE CLIMATIZACION S.L.,2017,,CONTRATO MENOR
alimentac. dic. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"295,14",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
alimentac. nov. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"213,85",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentac. sept. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"249,86",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
alimentac. dic. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"137,70",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentac. dic. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"417,52",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
alimentac. octubre rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"389,31",FRUTAS CESTER S.L.,2017,,CONTRATO MENOR
alimentac. octubre bgraci,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"154,90",TAHONA GOYESCA SL,2017,,CONTRATO MENOR
limpieza dic. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"279,12",LIMPIEZA ACONDIC RESTAURAC EDI,2017,,CONTRATO MENOR
mto. jardines octubre bg.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
drog. y limpieza nov. bgr,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"419,06",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
mto. jardines dic. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
mto. jardines nov. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
mto.jardines sept. bgrac.,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"458,33",VILLALBA DE LA CRUZ,2017,,CONTRATO MENOR
drogueria limp. sept. bg (3 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"446,43",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
drogueria limp. sept. bg (2 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"420,49",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
drog.y limpieza octub.bg. (5 fact.),INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"433,73",LIDERA HIGIENE SL,2017,,CONTRATO MENOR
alimentac. sept. rcajal,INSTITUTO ARAGONÉS DE LA JUVENTUD,,,,"429,57",CARNICAS RICAL S.L.,2017,,CONTRATO MENOR
soporte del aplicativo de administración plantilla,SERVICIO ARAGONÉS DE SALUD,,,,"21.562,20",HIBERUS TECNOLOGIAS DE LA,2017,,CONTRATO MENOR
mantenimiento bacteriostáticos edificio dirección,SERVICIO ARAGONÉS DE SALUD,,,,"5.543,74",SERVICIOS CONTENEDORES HIGIENI,2017,,CONTRATO MENOR
