Àmbit subjectiu,Òrgan de contractació,Codi d'expedient,id,Objecte del contracte,Descripció de la prestació,Tipus de contracte,Pressupost de licitació (sense IVA),Data de publicació,Empresa adjudicatària,Import d'adjudicació (sense IVA),Enllaç a la publicació,Codi CPV,Data d'adjudicació
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1015,4178,Servei de recollida i tractament de residus COVID,Serveis transversals generals - Publicació MASSIVA de contractes tramitats D'EMERGÈNCIA,Serveis,0,2020-05-27T00:00:00Z,TECNOLOGIA MEDIO AMBIENTE GRUPO F. S.L.,3976.14,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63108152&lawType=3,98310000,2020-03-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101198466,4179,Instal·lació gasos medicinals,Contractació del'edifici de modular de 4000m2. Obres d'instal·lació i mobiliari tècnic. Hospital Universitari Germans Trias i Pujol,Obres,4112012.41,2020-06-12T00:00:00Z,"S.E. CARBUROS METÁLICOS, S.A.",37469.44,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64027573&lawType=3,45215140,2020-05-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Investigació Biomèdica de Girona (IDIBGI),202021,4180,Bossa autoclavable vermella,Subministrament de material fungible i inventariable per situació d'emergència derivada de la COVID_19 per a l'IDIBGI.,Subministraments,137353.69,2020-06-19T00:00:00Z,DD BIOLAB,100,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64599454&lawType=3,33140000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,271/2020,4181,Servei extra de gestió de residus d'abril als centres del PSMar,Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de maig).,Serveis,0,2020-06-30T00:00:00Z,"CESPA GESTIÓN DE RESIDUOS, S.A.",107321.98,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64920934&lawType=3,90910000,2020-06-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),COVID19_LOG_001,4182,QIAstatDx-PCR SARS-CoV-2 6d 774QIA691214,Subministrament de reactius i material de laboratori destinats a ladiagnosi in-vitro de la malaltia del Coronavirus,Subministraments,305637,2020-06-22T00:00:00Z,WERFEN ESPAÑA SAU,4500,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64508678&lawType=3,33696500,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,336/2020,4183,Servei extra de gestió de residus al Centres del PSMar,Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de juny).,Serveis,0,2020-07-13T00:00:00Z,"CESPA GESTIÓN DE RESIDUOS, S.A.",70551.79,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65733542&lawType=3,44211300,2020-07-10T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH01/1101200456/20/CMUI,4184,Subministrament d'una sonda convexa d'ultrasons per ecografia toràcica. Pla de contingència front a l'epidèmia del SARS-CoV-2 de l'Hospital Universitari Vall d'Hebron.,Subministrament d'una sonda convexa d'ultrasons per ecografia toràcica. Pla de contingència front a l'epidèmia del SARS-CoV-2 de l'Hospital Universitari Vall d'Hebron.,Subministraments,4958.68,2020-06-26T00:00:00Z,FUJIFILM SONOSITE IBERICA SL,4958.68,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64780790&lawType=3,33141641,2020-05-28T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1002,4185,COAGULOMETRO PORTATIL MOD.COAGUCHEK XS,Subministrament d'equipament i mobiliari mèdic i no mèdic - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,"ROCHE DIAGNOSTICS, S.L.",550,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63770254&lawType=3,33000000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de l'Anoia,CE_CSA_2020 metacrilats,4186,Subministrament de metacrilats com a sistema de protecció als mostradors d'admissions,Subministrament de metacrilats com a sistema de protecció als mostradors d'admissions,Subministraments,625.3,2020-06-25T00:00:00Z,Ferreteria Jorba i Solà,625.3,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64681807&lawType=3,30194900,2020-06-05T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MATERIAL SANITARI,4187,FILTRE BACTERI VIRUS CIRCUIT ANESTESIA,"Subministrament del material sanitari, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,"G.E. HEALTHCARE ESPAÑA, S.A.",475,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64039095&lawType=3,33140000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,294/2020,4188,2 Termodesinfectadores,Publicació massiva de contractes tramitats per emergència de subministraments relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de maig).,Subministraments,0,2020-06-30T00:00:00Z,"MICRODAN ALTA DESINFECCION, S.A.",49992,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64917954&lawType=3,39518000,2020-06-22T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101200809/20/CMUI,4189,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT  MASCARETA FFP3 BEC ÀNEC A/VÀLV,Contractació emergència subministrament  mascareta ffp3 bec ànec a/vàlv,Subministraments,26188.8,2020-06-15T00:00:00Z,3M ESPAÑA SL,26188.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64106212&lawType=3,33140000,2020-05-19T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5100-2020-N1232,4190,Subministrament dequipament mèdic divers.,"Publicació massiva de contractes tramitats per emergència, de subministrament d'equipament mèdic  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Subministraments,0,2020-06-18T00:00:00Z,"MTB Distribuciones Tecnológicas, SL",27692.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64300560&lawType=3,33000000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,"Corporació Catalana de Mitjans Audiovisuals, SA (CCMA, SA)",2005EX01,4191,Contractació del subministrament de càmeres termogràfiques,"L'objecte d'aquesta concurrència és la contractació per part de la Corporació Catalana de Mitjans Audiovisuals, SA (en endavant CCMA, SA) del subministrament i instal·lació de càmeres termogràfiques pels accessos de les instal·lacions de la CCMA, SA a Sant Joan Despí (TV3) i l'Avinguda Diagonal de Barcelona (Catalunya Ràdio), per tal de poder prendre la temperatura dels seus treballadors en entrar a dites instal·lacions.",Subministraments,18423.21,2020-06-05T00:00:00Z,"KONICA MINOLTA BUSINESS SPAIN, SA",18423.41,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63626106&lawType=3,38412000,2020-06-03T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,405/2020,4192,Servei de gestió de comunicació als pacients via mòbil,Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de juny).,Serveis,0,2020-07-13T00:00:00Z,"ALHORA SCFP, SL.",3980.61,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65733542&lawType=3,44211300,2020-07-10T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH05/1101192870/20/PNSP,4193,Subministrament de 2 respiradors model PB980 per a la UCI de l'Hospital Joan XXIII de Tarragona. COVID-19,Subministrament de 2 respiradors model PB980 per a la UCI de l'Hospital Joan XXIII de Tarragona. COVID-19,Subministraments,28000,2020-05-06T00:00:00Z,"MEDTRONIC IBERICA, S.A.",28000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61929393&lawType=3,33157800,2020-03-13T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospitalari de Vic,CHV CE 4/20,4194,"Contractació, amb caràcter d'emergència, del subministrament de bates, llençols, coixineres i flassades.","Contractació, amb caràcter d'emergència, del subministrament de bates, llençols, coixineres i flassades per a equpar el Pavelló Vic Salut",Subministraments,10994.6,2020-05-11T00:00:00Z,"COOPERATIVA TREBALL CALANDRA, SCC",10994.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61912779&lawType=3,39518000,2020-04-03T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,158,4195,polaines curtes t.s.t. i gorro boina amb goma,Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,GRUPO DISTRIBUIDOR GARAU,359.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/0000000020,4196,TUB ENDOTRA. INTERMIG 112482 7.0TUB ENDOTRA. INTERMIG 112482 7.5TUB ENDOTRA.INTERMIG 112482 8.0TUB ENDOTRA. INTERMIG 112482 8.5TUB GUEDEL N/3 Ref: 7012008TUB GUEDEL N/4  REF 7012009TUB GUEDEL N/5 Ref: 7012010SONDA FOLEY N/12 180605 12SONDA FOLEY N/14 180605 14SONDA FOLEY N/18 180605 18SONDA FOLEY SILIC. N/12 170605 12SONDA FOLEY SILI. N/14 170605 14SONDA FOLEY SILI. N/16 170605 16SONDA FOLEY SILI. 18 170605 18SONDA CONVELAIRE 3V N/18 B-75 SIM 664176SONDA CONVELAIRE 3V N/22 B-75 SIM 664176BOSSA ORINA 4L A/SORTIDA EST.HUMIDIFICADOR ACUAPACK EST  340MLZ SET CATETER CENTRAL 3V SELDINGER 16 CMSET CATETER CENTRAL 3V SELDINGER 20 CM,Subministrament de material sanitari corresponent al mes de març 2020 per atendre la urgència de la COVID_19 (Serveis Logístics) de L'IAS,Subministraments,226476.57,2020-05-15T00:00:00Z,TELEFLEX MEDICAL SA,1279.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62152530&lawType=3,33140000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Interior,IT-2020-472,4197,Servei de neteja interior i desinfecció dels vehicles del Cos deMossos d'Esquadra adscrits a la Regió Policial Ponent (excepteComissaria de Lleida) en el marc de l'estratègia deresposta a l'epidèmia del SARS-CoV-2.,Servei de neteja interior i desinfecció dels vehicles del Cos deMossos d'Esquadra adscrits a la Regió Policial Ponent (excepteComissaria de Lleida) en el marc de l'estratègia deresposta a l'epidèmia del SARS-CoV-2.,Serveis,3720,2020-05-18T00:00:00Z,"SNAKEYES LAVANDERIAS INDUSTRIALES, SL",3720,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62541586&lawType=3,50110000,2020-05-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101195666,4198,Materials obres,"Equipament general: aparells mèdics, materials i accessoris d'aparells, mobiliari clínic i general i obres de condicionament per habilitar 60 llits crítics per al tractament estable de pacients amb Covid per l'Hospital Universitari Germans Trias i Pujol",Subministraments,291638.39,2020-06-12T00:00:00Z,"DAUNIS,S.A.",12065.78,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64019695&lawType=3,33192000,2020-05-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Ferrocarrils de la Generalitat de Catalunya,CONTE/2020/106,4199,Subministrament Gel Hidroalcohòlic en ampolles de 100ml per motiu de la pandèmia COVID-19 (PEMC16/20),Subministrament Gel Hidroalcohòlic en ampolles de 100ml per motiu de la pandèmia COVID-19.,Subministraments,700000,2020-07-15T00:00:00Z,"TALLER AURIA, SCCL",1240,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=65846088&lawType=3,24322000,2020-06-08T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari Integral,246,4200,subministrament de material de monitorització,Publicació massiva de contractes tramitats d'emergència 2020,Subministraments,0,2020-07-07T00:00:00Z,"MINDRAY MEDICAL ESPAÑA, SL",1110,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65297999&lawType=3,33140000,2020-07-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Banc de Sang i Teixits (BST),Menors emergència,4201,COVID19 Desinfecció extra espais donació,Publicació massiva de contractes menors amb tramitació d'emergència,Subministraments,0,2020-05-14T00:00:00Z,"VESISMIN, S.L.",439.68,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62423910&lawType=3,35113410,2020-05-14T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),contr/2020/000000052,4202,"PIPERACILINA TAZOBACTAM SANDOZ 4+0,5 G (","Subministrament de material de farmàcia per al servei de farmàcia  de l'IAS, per atendre l'emergència de la COVID_19 JUNY 2020",Subministraments,8548.74,2020-07-24T00:00:00Z,SANDOZ FARMACEUTICA SA,608.61,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66398092&lawType=3,33610000,2020-07-23T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101191815/20/CMUI,4203,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT MATERIAL PROVA CORONAVIRUS,Contractació emergència subministrament material prova coronavirus,Subministraments,5150,2020-06-15T00:00:00Z,SARSTEDT S.A.U.,5150,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64086748&lawType=3,33140000,2020-03-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Investigació Biomèdica de Girona (IDIBGI),202021,4204,"FAM/ROX and VIC/ROX Dye Normalization Plates, Fast 96-well",Subministrament de material fungible i inventariable per situació d'emergència derivada de la COVID_19 per a l'IDIBGI.,Subministraments,137353.69,2020-06-19T00:00:00Z,LIFETECHNOLOGIES,245,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64599454&lawType=3,33140000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),9.1-Subministraments i serveis diversos,4205,Servei de restauració als allotjaments demergència per a 25 professionals de residències de gent gran al centre HOTEL ATIRAM TRES TORRES,"Publicació massiva de contractes tramitats per emergència, de subministraments i serveis diversos d'àmbit social en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"SERUNION ALIMENTACIÓ SALUDABLE, SLU",6285,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62074153&lawType=3,71241000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE6/2020,4206,COMPRA EMERGÈNCIA 6: Tubs endotraquials,Tubs endotraquials,Subministraments,1710,2020-05-06T00:00:00Z,IZASA HOSPITAL S.L.U.,1710,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61875626&lawType=3,44164100,2020-04-03T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,4207,PREDNISONA   30 MG   COMP,Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,"FEDERACIO FARMACEUTICA, S.COOP.",238.47,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),SONDA FOLEY SILI. 18 170605 18,4208,Publicació massiva de contractes tramitats d'emergència,"Publicació massiva de contractes tramitats d'emergència per part de Serveis Logistics de l'IAS, per atendre la pandèmia Covid_19 corresponent al mes de Maig 2020",Subministraments,139225.25,2020-06-30T00:00:00Z,TELEFLEX MEDICAL SA,15.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64945050&lawType=3,33140000,2020-06-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1047,4209,Mat.limp. farmacia,"Subministrament de material de ferreteria, neteja, rober, comestibles i altres materials no sanitaris - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIES",Subministraments,0,2020-06-09T00:00:00Z,"LABORATORIO BOHM, S.A.",2860,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64002747&lawType=3,44316000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1043,4210,"Catèters, sondes i altre material fungible sanitari","Subministrament de catèters, sondes i altre material fungibe sanitari - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,OIARSO S. COOP.  BEXEN,9294.21,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64001795&lawType=3,33141200,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5100-2020-N1234,4211,Subministrament de llits dhospitalització.,"Publicació massiva de contractes tramitats per emergència, de subministrament d'equipament mèdic  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Subministraments,0,2020-06-18T00:00:00Z,"LINET IBERIA, S.L.",29700,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64300560&lawType=3,33000000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,"Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya",2020040300,4212,Bossa d'hores de Desenvolupador i Especialista Funcional per al desenvolupament de la plataforma web de la hackató ciutadana Hackovid organitzada en el context de la crisi derivada del COVID-19,"La iniciativa Hackovid impulsada per la Generalitat de Catalunya i organitzada per i2CAT pretén promoure la participació i oferir eines digitals perquè la ciutadania pugui donar a conèixer les necessitats reals que està vivint, així com animar les comunitats TIC a resoldre-les amb solucions innovadores alineades amb els Objectius de Desenvolupament Sostenible de les Nacions Unides. En el marc d'aquesta iniciativa és necessari el desenvolupament d'una nova plataforma per gestionar la participació ciutadana en la definició dels reptes a solucionar durant la hackató.",Serveis,7852.2,2020-07-03T00:00:00Z,"CodiTramuntana, S.L.",7852.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65096506&lawType=3,72420000,2020-04-03T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE135/2020,4213,COMPRA EMERGÈNCIA 135: Subministrament de solució hidroalcoholica 500 ML,Subministrament de solució hidroalcoholica 500 ML,Subministraments,554,2020-06-10T00:00:00Z,"Barna Import, SA",554,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63372522&lawType=3,24455000,2020-05-29T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101199810/20/CMUI,4214,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT MASCARETA IIR,Contractació emergència subministrament mascareta IIR,Subministraments,1160000,2020-06-15T00:00:00Z,PUENTE CHINA ESPAÑA COMERCIO SL,1160000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64099648&lawType=3,33140000,2020-05-11T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de Justícia,JU-2020-335,4215,COVID-19 Protecció taulells_mampares,Publicació massiva contractes tramitats d'emegencia a 22.05.2020,Serveis,0,2020-05-22T00:00:00Z,"PLASTICOS FER PLAST, SL",31645,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62880398&lawType=3,44210000-5,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1002,4216,NEVERA 160X54X60cm,Subministrament d'equipament i mobiliari mèdic i no mèdic - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,"SUEPRAT BARCELONA, S.L.",237.85,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63770254&lawType=3,33000000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5100-2020-N1234,4217,Subministrament de llits dhospitalització.,"Publicació massiva de contractes tramitats per emergència, de subministrament d'equipament mèdic  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Subministraments,0,2020-06-18T00:00:00Z,"Fusté Carreras, SA",25031.71,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64300560&lawType=3,33000000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),025C-2020-CEM,4218,Servei de manteniment d'un pavelló de l'Inst. Guttmann per l'Hospital Universitari Germans Trias i Pujol,Servei de manteniment d'un pavelló de l'Inst. Guttmann per l'Hospital Universitari Germans Trias i Pujol,Serveis,750,2020-06-25T00:00:00Z,"GESTION INTEGRAL DE INSTALACIONES, S.L.",750,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64689805&lawType=3,50700000,2020-04-07T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1047,4219,Mat.limp. farmacia,"Subministrament de material de ferreteria, neteja, rober, comestibles i altres materials no sanitaris - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIES",Subministraments,0,2020-06-09T00:00:00Z,"VESISMIN, S.L.",809.28,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64002747&lawType=3,44316000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH01/1101196981/20/CMUI,4220,Subministrament de bates de cirurgia de protecció per l'Àrea General suport Urgències de l'AMI de l'Hospital Universitari Vall d'Hebron dins del Pla de Contingència front a l'epidèmia del SARS- CoV-2.,Subministrament de bates de cirurgia de protecció per l'Àrea General suport Urgències de l'AMI de l'Hospital Universitari Vall d'Hebron dins del Pla de Contingència front a l'epidèmia del SARS- CoV-2.,Subministraments,2269.44,2020-05-18T00:00:00Z,"LABORATORIOS HARTMANN, S.A.",2269.44,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62596177&lawType=3,33140000,2020-04-24T00:00:00Z
